day,sol,crew_size,activity_level,dust_storm_flag,solar_availability,o2_consumption_kg,co2_production_kg,water_use_kg,food_kg,waste_kg,o2_recovery_efficiency,water_recovery_efficiency,net_o2_makeup_kg,net_water_makeup_kg,greenhouse_ventilation_m3_per_h,cabin_co2_ppm_proxy
231,231,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1199
232,232,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1160
233,233,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1214
234,234,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1182
235,235,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1160
236,236,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1068
237,237,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1084
238,238,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1161
239,239,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1171
240,240,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1210
241,241,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1197
242,242,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1184
243,243,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1099
244,244,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1112
245,245,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1155
246,246,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1146
247,247,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1171
248,248,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1190
249,249,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1208
250,250,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1132
251,251,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1104
252,252,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1174
253,253,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1194
254,254,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1162
255,255,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1151
256,256,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1190
257,257,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1094
258,258,100,0.765,1,0.25,64.26,76.5,332.5,183.0,9.18,0.86,0.9,9.0,33.25,2430.0,1079
259,259,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1212
260,260,100,0.977,1,0.25,82.11,97.75,332.5,183.0,11.73,0.86,0.9,11.5,33.25,2430.0,1211
261,261,100,1.15,0,0.875,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,931
262,262,100,1.15,0,0.919,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,864
263,263,100,1.15,0,0.954,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,883
264,264,100,0.9,0,0.876,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,796
265,265,100,0.9,0,0.925,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,777
266,266,100,1.15,0,0.941,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,923
267,267,100,1.15,0,0.976,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,905
268,268,100,1.15,0,0.822,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,876
269,269,100,1.15,0,0.936,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,865
270,270,100,1.15,0,0.819,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,899
271,271,100,0.9,0,0.84,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,786
272,272,100,0.9,0,0.869,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,796
273,273,100,1.15,0,0.858,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,913
274,274,100,1.15,0,0.873,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,870
275,275,100,1.15,0,0.915,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,898
276,276,100,1.15,0,0.898,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,915
277,277,100,1.15,0,0.94,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,899
278,278,100,0.9,0,0.912,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,838
279,279,100,0.9,0,0.963,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,837
280,280,100,1.15,0,0.851,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,922
281,281,100,1.15,0,0.899,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,887
282,282,100,1.15,0,0.916,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,919
283,283,100,1.15,0,0.897,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,886
284,284,100,1.15,0,0.93,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,871
285,285,100,0.9,0,1.0,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,772
286,286,100,0.9,0,0.863,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,760
287,287,100,1.15,0,0.816,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,931
288,288,100,1.15,0,0.892,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,877
289,289,100,1.15,0,0.996,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,885
290,290,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,902
291,291,100,1.15,0,0.905,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,875
292,292,100,0.9,0,0.872,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,793
293,293,100,0.9,0,0.979,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,831
294,294,100,1.15,0,0.962,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,936
295,295,100,1.15,0,0.904,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,928
296,296,100,1.15,0,0.906,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,901
297,297,100,1.15,0,0.932,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,934
298,298,100,1.15,0,0.957,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,922
299,299,100,0.9,0,0.921,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,799
300,300,100,0.9,0,0.955,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,777
301,301,100,1.15,0,0.925,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,885
302,302,100,1.15,0,0.912,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,921
303,303,100,1.15,0,0.945,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,918
304,304,100,1.15,0,0.954,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,894
305,305,100,1.15,0,0.903,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,930
306,306,100,0.9,0,0.86,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,809
307,307,100,0.9,0,0.915,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,762
308,308,100,1.15,0,0.988,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,861
309,309,100,1.15,0,0.893,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,861
310,310,100,1.15,0,0.948,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,876
311,311,100,1.15,0,0.934,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,917
312,312,100,1.15,0,0.889,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,889
313,313,100,0.9,0,0.927,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,835
314,314,100,0.9,0,0.801,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,807
315,315,100,1.15,0,0.924,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,892
316,316,100,1.15,0,0.89,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,900
317,317,100,1.15,0,0.945,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,876
318,318,100,1.15,0,0.856,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,872
319,319,100,1.15,0,0.945,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,904
320,320,100,0.9,0,0.898,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,828
321,321,100,0.9,0,1.0,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,796
322,322,100,1.15,0,0.941,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,933
323,323,100,1.15,0,0.926,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,875
324,324,100,1.15,0,0.844,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,902
325,325,100,1.15,0,0.892,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,915
326,326,100,1.15,0,0.897,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,896
327,327,100,0.9,0,0.904,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,795
328,328,100,0.9,0,0.932,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,826
329,329,100,1.15,0,0.882,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,913
330,330,100,1.15,0,0.924,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,891
331,331,100,1.15,0,0.908,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,862
332,332,100,1.15,0,0.886,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,916
333,333,100,1.15,0,0.914,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,905
334,334,100,0.9,0,0.956,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,837
335,335,100,0.9,0,0.905,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,770
336,336,100,1.15,0,0.849,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,885
337,337,100,1.15,0,0.893,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,896
338,338,100,1.15,0,0.924,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,866
339,339,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,910
340,340,100,1.15,0,0.902,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,895
341,341,100,0.9,0,0.962,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,814
342,342,100,0.9,0,0.951,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,783
343,343,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,870
344,344,100,1.15,0,0.878,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,908
345,345,100,1.15,0,0.956,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,933
346,346,100,1.15,0,0.838,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,937
347,347,100,1.15,0,0.982,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,929
348,348,100,0.9,0,0.935,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,822
349,349,100,0.9,0,0.981,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,787
350,350,100,1.15,0,0.911,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,892
351,351,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,909
352,352,100,1.15,0,0.91,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,900
353,353,100,1.15,0,0.881,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,899
354,354,100,1.15,0,0.82,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,931
355,355,100,0.9,0,0.989,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,803
356,356,100,0.9,0,0.883,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,775
357,357,100,1.15,0,0.997,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,893
358,358,100,1.15,0,0.91,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,880
359,359,100,1.15,0,0.865,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,931
360,360,100,1.15,0,0.981,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,938
361,361,100,1.15,0,0.959,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,870
362,362,100,0.9,0,0.847,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,800
363,363,100,0.9,0,0.936,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,789
364,364,100,1.15,0,0.883,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,885
365,365,100,1.15,0,0.893,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,912
366,366,100,1.15,0,0.932,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,886
367,367,100,1.15,0,0.999,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,890
368,368,100,1.15,0,0.818,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,877
369,369,100,0.9,0,0.838,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,822
370,370,100,0.9,0,1.0,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,780
371,371,100,1.15,0,0.917,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,897
372,372,100,1.15,0,0.941,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,879
373,373,100,1.15,0,0.889,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,871
374,374,100,1.15,0,0.883,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,924
375,375,100,1.15,0,0.786,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,900
376,376,100,0.9,0,0.985,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,819
377,377,100,0.9,0,0.907,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,774
378,378,100,1.15,0,0.992,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,927
379,379,100,1.15,0,0.891,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,903
380,380,100,1.15,0,0.93,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,932
381,381,100,1.15,0,0.877,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,913
382,382,100,1.15,0,0.936,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,874
383,383,100,0.9,0,0.807,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,772
384,384,100,0.9,0,0.906,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,776
385,385,100,1.15,0,0.889,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,873
386,386,100,1.15,0,0.889,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,884
387,387,100,1.15,0,0.84,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,873
388,388,100,1.15,0,0.974,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,885
389,389,100,1.15,0,0.982,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,920
390,390,100,0.9,0,0.888,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,790
391,391,100,0.9,0,0.904,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,779
392,392,100,1.15,0,0.968,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,888
393,393,100,1.15,0,0.831,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,892
394,394,100,1.15,0,0.911,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,884
395,395,100,1.15,0,0.962,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,868
396,396,100,1.15,0,0.865,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,860
397,397,100,0.9,0,0.961,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,812
398,398,100,0.9,0,0.937,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,820
399,399,100,1.15,0,0.832,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,935
400,400,100,1.15,0,0.956,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,906
401,401,100,1.15,0,0.973,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,915
402,402,100,1.15,0,0.937,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,918
403,403,100,1.15,0,0.918,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,893
404,404,100,0.9,0,0.899,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,773
405,405,100,0.9,0,0.875,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,800
406,406,100,1.15,0,0.844,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,863
407,407,100,1.15,0,0.877,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,931
408,408,100,1.15,0,0.967,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,917
409,409,100,1.15,0,0.933,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,872
410,410,100,1.15,0,0.901,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,927
411,411,100,0.9,0,0.95,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,761
412,412,100,0.9,0,0.932,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,776
413,413,100,1.15,0,0.898,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,866
414,414,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,919
415,415,100,1.15,0,0.898,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,913
416,416,100,1.15,0,0.894,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,867
417,417,100,1.15,0,0.946,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,906
418,418,100,0.9,0,0.857,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,763
419,419,100,0.9,0,0.934,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,836
420,420,100,1.15,0,0.933,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,895
421,421,100,1.15,0,0.928,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,919
422,422,100,1.15,0,0.941,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,929
423,423,100,1.15,0,0.916,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,919
424,424,100,1.15,0,0.857,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,901
425,425,100,0.9,0,0.932,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,824
426,426,100,0.9,0,0.808,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,836
427,427,100,1.15,0,0.962,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,902
428,428,100,1.15,0,0.828,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,894
429,429,100,1.15,0,0.844,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,934
430,430,100,1.15,0,0.946,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,861
431,431,100,1.15,0,0.976,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,933
432,432,100,0.9,0,0.854,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,831
433,433,100,0.9,0,0.878,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,783
434,434,100,1.15,0,0.921,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,862
435,435,100,1.15,0,0.955,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,884
436,436,100,1.15,0,0.934,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,899
437,437,100,1.15,0,0.915,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,897
438,438,100,1.15,0,0.874,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,897
439,439,100,0.9,0,0.916,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,773
440,440,100,0.9,0,0.907,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,771
441,441,100,1.15,0,0.882,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,924
442,442,100,1.15,0,1.0,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,887
443,443,100,1.15,0,0.938,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,938
444,444,100,1.15,0,0.933,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,936
445,445,100,1.15,0,0.894,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,870
446,446,100,0.9,0,0.945,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,811
447,447,100,0.9,0,1.0,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,765
448,448,100,1.15,0,0.992,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,872
449,449,100,1.15,0,0.966,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,911
450,450,100,1.15,0,0.845,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,872
451,451,100,1.15,0,0.832,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,921
452,452,100,1.15,0,0.925,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,926
453,453,100,0.9,0,0.965,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,807
454,454,100,0.9,0,0.924,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,786
455,455,100,1.15,0,0.971,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,909
456,456,100,1.15,0,0.901,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,909
457,457,100,1.15,0,0.81,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,925
458,458,100,1.15,0,0.964,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,912
459,459,100,1.15,0,0.959,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,898
460,460,100,0.9,0,0.895,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,802
461,461,100,0.9,0,0.836,75.6,90.0,332.5,183.0,10.8,0.92,0.95,6.05,16.63,1980.0,787
462,462,100,1.15,0,0.901,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,931
463,463,100,1.15,0,0.813,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,898
464,464,100,1.15,0,0.968,96.6,115.0,367.5,183.0,13.8,0.92,0.95,7.73,18.38,1980.0,911
